x	y	z	t	#
149.319	-172.058	259.836	21.68	12
56.2152	-58.0731	48.4869	21.68	13
155.868	-173.392	260.552	21.7	12
55.9831	-55.6664	49.2476	21.7	13
162.21	-174.824	261.56	21.72	12
57.3802	-53.2706	49.4583	21.72	13
168.404	-175.779	261.266	21.74	12
60.2395	-51.052	48.6044	21.74	13
174.058	-175.47	267.331	21.76	12
64.2628	-49.0163	49.7175	21.76	13
179.295	-173.881	276.951	21.78	12
68.7436	-46.8592	51.5758	21.78	13
73.2485	-44.3743	52.8907	21.8	13
78.0005	-41.6736	52.9755	21.82	13
83.0127	-38.7542	52.1641	21.84	13
87.9549	-35.5028	54.1504	21.86	13
92.7631	-31.9947	58.6335	21.88	13
97.328	-28.4205	64.9627	21.9	13
101.452	-24.795	70.2495	21.92	13
105.389	-21.0396	72.9597	21.94	13
109.454	-17.1704	67.6066	21.96	13
113.795	-13.1588	62.6445	21.98	13
118.504	-8.84612	69.2236	22	13
123.544	-4.3621	77.5567	22.02	13
129.387	0.741298	104.225	22.04	13
136.417	6.15084	125.531	22.08	13
143.415	10.0242	108.989	22.1	13
149.473	12.7951	95.1037	22.12	13
-183.356	-219.701	409.71	22.12	14
155.031	15.9684	97.9072	22.14	13
-179.976	-219.059	409.164	22.14	14
160.355	19.5785	100.677	22.16	13
-176.259	-219.477	405.169	22.16	14
185.418	-172.311	281.639	22.16	15
165.508	23.3028	101.742	22.18	13
-172.441	-220.287	406.559	22.18	14
182.782	-176.142	267.747	22.18	15
170.441	26.9065	106.841	22.2	13
-168.486	-220.814	410.601	22.2	14
180.261	-180.411	261.014	22.2	15
-164.387	-221.214	414.247	22.22	14
177.629	-184.434	256.248	22.22	15
-160.528	-222.338	421.457	22.24	14
174.749	-187.657	256.489	22.24	15
-157.294	-225.023	428.5	22.26	14
171.495	-189.825	254.258	22.26	15
-154.562	-229.321	432.322	22.28	14
167.694	-190.953	247.308	22.28	15
-151.915	-234.604	435.209	22.3	14
163.322	-191.285	245.142	22.3	15
-148.553	-239.397	439.968	22.32	14
158.548	-191.189	247.916	22.32	15
153.892	-191.311	246.845	22.34	15
149.565	-191.76	240.02	22.36	15
-145.246	-240.635	443.015	22.38	14
145.3	-192.271	230.219	22.38	15
-144.466	-237.129	438.019	22.4	14
140.748	-192.66	224.014	22.4	15
-145.984	-231.441	434.538	22.42	14
135.817	-193.04	224.993	22.42	15
-148.46	-225.623	438.08	22.44	14
130.807	-193.904	223.159	22.44	15
-151.731	-220.22	439.973	22.46	14
125.623	-195.475	218.175	22.46	15
-155.483	-215.634	439.78	22.48	14
120.248	-197.936	211.384	22.48	15
-159.451	-211.906	441.337	22.5	14
114.895	-201.113	203.517	22.5	15
-163.512	-209.053	442.357	22.52	14
109.533	-204.594	201.907	22.52	15
-167.45	-206.738	444.169	22.54	14
104.141	-208.11	206.565	22.54	15
-170.904	-204.341	449.552	22.56	14
98.5786	-211.574	208.767	22.56	15
-173.925	-201.769	453.65	22.58	14
92.8885	-214.889	206.742	22.58	15
-176.792	-199.426	456.389	22.6	14
87.0205	-217.843	207.356	22.6	15
-179.568	-197.6	461.573	22.62	14
173.921	-3.82661	150.978	22.68	16
167.413	-7.39939	146.584	22.7	16
161.63	-11.002	160.742	22.72	16
156.09	-14.52	167.796	22.74	16
37.468	-230.384	187.018	22.74	17
150.464	-18.1207	161.397	22.76	16
29.9157	-231.135	189.863	22.76	17
144.285	-21.7982	157.893	22.78	16
22.348	-231.651	185.082	22.78	17
137.41	-24.9564	158.931	22.8	16
14.7576	-231.952	177.457	22.8	17
130.935	-27.3119	150.761	22.82	16
7.24771	-232.283	181.261	22.82	17
124.783	-29.0226	134.121	22.84	16
0.182544	-232.774	186.923	22.84	17
118.235	-30.1891	129.809	22.86	16
-6.34934	-233.268	187.433	22.86	17
111.76	-30.4372	134.971	22.88	16
-12.3122	-234.434	187.27	22.88	17
105.506	-29.2279	142.706	22.9	16
-17.5846	-236.315	185.105	22.9	17
99.3399	-26.7913	149.353	22.92	16
-23.4421	-238.219	182.996	22.92	17
93.5001	-23.7658	149.258	22.94	16
87.8298	-20.5005	145.616	22.96	16
81.9804	-17.3802	141.48	22.98	16
76.0455	-15.0818	134.899	23	16
-28.4424	-239.111	184.974	23	17
70.1814	-14.2585	133.181	23.02	16
-28.8537	-236.983	186.561	23.02	17
64.9535	-14.872	134.442	23.04	16
-26.6754	-232.005	186.789	23.04	17
60.2089	-16.4779	127.401	23.06	16
-24.9621	-225.942	183.862	23.06	17
-23.7313	-219.817	176.388	23.08	17
55.6379	-18.0595	120.014	23.1	16
-23.0271	-214.363	171.373	23.1	17
52.6204	-18.117	119.647	23.12	16
-23.2213	-209.297	165.614	23.12	17
51.1923	-16.9108	109.023	23.14	16
-24.4791	-204.87	160.72	23.14	17
50.2099	-15.5447	82.3867	23.16	16
-26.5221	-200.325	150.654	23.16	17
48.7363	-13.3612	61.894	23.18	16
-29.1679	-193.794	130.081	23.2	17
46.62	-9.84643	54.6044	23.22	16
45.0248	-6.01719	52.9304	23.24	16
-31.5101	-185.81	115.958	23.24	17
44.2406	-2.25292	53.3222	23.26	16
44.735	2.6233	48.4062	23.28	16
-32.1925	-178.234	108.25	23.3	17
47.1033	8.18034	38.7933	23.32	16
-31.5181	-172.889	103.393	23.32	17
193.49	20.8909	468.987	23.32	18
49.3666	12.52	37.4821	23.34	16
-30.6418	-166.592	91.4311	23.34	17
193.105	23.0559	452.691	23.34	18
192.21	25.1302	438.179	23.36	18
50.4802	15.0591	39.17	23.38	16
190.385	27.1173	434.895	23.38	18
52.0821	15.379	38.0859	23.4	16
188.27	29.4773	436.778	23.4	18
54.696	14.0923	50.7358	23.42	16
-30.1892	-158.135	72.6873	23.42	17
185.639	33.8288	450.199	23.42	18
58.4758	12.4031	70.3874	23.44	16
-30.5844	-152.593	61.0832	23.44	17
63.444	10.6945	76.7787	23.46	16
-32.102	-148.028	46.334	23.46	17
182.94	40.5351	463.493	23.46	18
68.4548	9.06904	79.5447	23.48	16
181.243	47.1292	466.961	23.48	18
73.1131	7.58953	85.9889	23.5	16
-34.7414	-142.022	32.2427	23.5	17
180.227	53.0245	466.448	23.5	18
77.8011	6.38765	90.3226	23.52	16
178.877	58.9376	472.317	23.52	18
82.7332	5.53616	93.8287	23.54	16
176.725	64.717	479.722	23.54	18
87.8688	5.43154	97.8528	23.56	16
173.435	70.345	479.048	23.56	18
92.8073	6.53837	100.016	23.58	16
168.627	75.643	477.135	23.58	18
97.0971	8.87484	104.447	23.6	16
162.141	80.5155	476.456	23.6	18
100.955	12.0209	114.067	23.62	16
154.348	85.3469	473.759	23.62	18
104.645	15.4529	119.833	23.64	16
145.839	90.4084	476.638	23.64	18
108.248	18.8371	122.737	23.66	16
137.166	95.8221	482.95	23.66	18
112.115	22.1629	129.93	23.68	16
128.594	101.574	482.02	23.68	18
-43.4638	-121.44	67.5383	23.68	19
116.224	25.6109	134.497	23.7	16
119.782	107.403	474.556	23.7	18
-42.1427	-118.849	76.3442	23.7	19
120.417	29.231	138.61	23.72	16
110.675	113.21	469.425	23.72	18
-39.7724	-114.839	69.9852	23.72	19
124.823	32.8875	151.748	23.74	16
101.425	119.02	466.513	23.74	18
-36.2473	-111.017	65.1629	23.74	19
129.406	36.4672	166.53	23.76	16
91.9293	124.719	457.766	23.76	18
-31.9474	-109.305	65.9528	23.76	19
133.774	39.9276	177.225	23.78	16
82.1078	130.007	449.371	23.78	18
-27.0615	-108.292	63.7432	23.78	19
138.756	43.3671	183.691	23.8	16
72.0562	134.562	448.466	23.8	18
-22.0727	-106.789	61.21	23.8	19
62.0049	138.079	447.896	23.82	18
-17.4203	-105.234	65.4646	23.82	19
144.508	45.5828	187.495	23.84	16
52.0245	140.077	445.61	23.84	18
-13.0434	-103.447	71.0323	23.84	19
149.027	44.7693	193.445	23.86	16
42.3885	140.012	441.613	23.86	18
-8.61547	-101.05	71.1736	23.86	19
152.143	41.4148	199.625	23.88	16
33.7441	137.744	433.179	23.88	18
-3.9191	-98.6548	67.2798	23.88	19
154.74	36.8715	206.365	23.9	16
26.6521	133.483	423.49	23.9	18
0.900633	-96.6248	64.5048	23.9	19
156.852	31.7991	212.825	23.92	16
21.0413	127.375	416.491	23.92	18
5.83099	-94.7664	68.3308	23.92	19
158.483	26.4781	218.357	23.94	16
16.3999	119.747	411.312	23.94	18
11.06	-93.7581	73.8183	23.94	19
159.641	20.9785	223.571	23.96	16
12.3932	111.223	406.961	23.96	18
16.4479	-94.0209	81.2091	23.96	19
160.382	15.6454	225.121	23.98	16
8.57392	102.175	404.01	23.98	18
21.7915	-95.6183	90.0982	23.98	19
160.947	11.1085	225.707	24	16
4.67423	92.8211	403.264	24	18
26.907	-98.5841	96.6386	24	19
161.556	7.59878	233.339	24.02	16
1.06313	83.2159	404.78	24.02	18
31.497	-102.654	105.751	24.02	19
-2.07112	73.2783	403.015	24.04	18
35.4283	-107.757	111.627	24.04	19
-4.99482	63.1188	395.776	24.06	18
38.9166	-113.466	109.722	24.06	19
162.059	5.58335	249.456	24.08	16
-7.7381	52.7734	387.912	24.08	18
42.1089	-119.064	109.517	24.08	19
162.176	5.63778	262.305	24.1	16
-10.1496	42.3646	383.225	24.1	18
45.2017	-124.474	113.478	24.1	19
161.064	6.825	272.442	24.12	16
-12.4514	32.0643	382.091	24.12	18
48.5459	-129.899	117.227	24.12	19
-14.9883	21.8819	383.845	24.14	18
52.0042	-135.234	122.904	24.14	19
-17.6747	11.9904	382.395	24.16	18
55.7102	-140.654	130.302	24.16	19
-20.299	2.46167	376.317	24.18	18
59.7458	-146.55	132.247	24.18	19
-22.9444	-7.07493	379.672	24.2	18
63.6078	-152.851	132.189	24.2	19
158.568	7.74052	291.841	24.22	16
-25.3492	-16.9559	389.425	24.22	18
66.9925	-159.046	135.742	24.22	19
156.084	7.48172	310.757	24.24	16
-27.157	-27.155	387.171	24.24	18
70.0614	-164.872	137.349	24.24	19
153.878	5.98317	318.143	24.26	16
-28.7497	-37.6195	379.092	24.26	18
73.329	-170.163	136.076	24.26	19
151.359	3.62213	322.603	24.28	16
-30.3883	-48.5199	375.376	24.28	18
77.1042	-174.5	137.494	24.28	19
148.869	0.300872	329.404	24.3	16
-31.6359	-59.7693	373.756	24.3	18
81.4864	-178.206	140.85	24.3	19
146.582	-3.96366	334.627	24.32	16
-31.7011	-70.6316	374.159	24.32	18
86.2169	-181.925	143.079	24.32	19
144.382	-8.68735	338.571	24.34	16
-30.2203	-80.1162	375.425	24.34	18
90.8327	-185.755	145.428	24.34	19
142.813	-13.2259	348.219	24.36	16
-27.946	-87.1748	377.289	24.36	18
95.1322	-189.776	147.703	24.36	19
141.861	-17.1782	355.984	24.38	16
-25.7294	-93.5158	378.232	24.38	18
99.0629	-193.91	152.909	24.38	19
140.52	-20.463	356.071	24.4	16
102.837	-198.034	160.162	24.4	19
138.32	-23.0745	355.765	24.42	16
